puma,total_seats,total_vacancy,site_count,births_puma,avg_pct_fb,births_puma_2yr
04103,2339,1121,41,794,35,1588
04104,837,245,18,793,46,1586
04107,1491,194,31,1848,32,3696
04108,1323,272,20,2143,29,4286
04109,776,180,14,788,44,1576
04110,1957,674,37,1146,40,2292
04111,2332,879,43,1153,36,2306
04112,2650,736,39,1597,50,3194
04121,1309,320,29,1306,35.5,2612
04165,800,132,15,1445,43,2890
04204,2057,446,33,1811,62,3622
04205,1823,589,27,1596,62,3192
04207,1688,435,25,1696,66,3392
04208,1653,304,31,895,48,1790
04209,2190,361,33,2068,61,4136
04210,1132,131,20,897,56,1794
04211,1446,224,22,1221,64,2442
04212,1900,449,32,1384,55,2768
04221,2905,893,44,1866,48.5,3732
04263,3758,1291,67,2247,47,4494
04301,2297,713,37,3349,17,6698
04302,1792,423,35,1542,28,3084
04303,2274,803,41,2134,24,4268
04304,2393,802,35,976,56,1952
04305,3591,1204,56,2057,53,4114
04306,1699,392,32,1338,26,2676
04307,2978,711,44,1355,61,2710
04308,1955,678,25,1011,35,2022
04309,1477,359,23,1196,40,2392
04310,2043,351,31,1386,60,2772
04311,2884,458,43,2200,76,4400
04312,4199,934,60,4733,24,9466
04313,2072,591,36,1047,65,2094
04314,2611,482,46,2139,52,4278
04315,2906,562,42,2134,59,4268
04316,1707,728,25,976,40,1952
04317,2627,886,42,1395,57,2790
04318,2400,798,38,1836,48,3672
04401,2407,327,40,1637,51,3274
04402,2123,289,42,1459,63,2918
04403,2046,240,38,1785,75,3570
04404,2788,619,38,1776,82,3552
04405,2156,392,33,1605,61,3210
04406,2303,405,34,1156,59,2312
04407,4060,957,65,1841,81,3682
04408,2827,587,54,1338,66,2676
04409,2262,358,34,1513,72,3026
04410,1851,353,30,1092,66,2184
04411,2288,336,40,465,67,930
04412,3698,877,66,2489,67,4978
04413,2830,488,52,1259,64,2518
04414,1567,389,27,948,38,1896
04501,2644,652,51,1995,42,3990
04502,2610,500,41,1351,48,2702
04503,2096,337,36,1530,28,3060
