puma,total_seats,total_vacancy,tot_births_22,pre_sch_age
4103,2339,1121,794,1588
4104,837,245,793,1586
4107,1491,194,1848,3696
4108,1323,272,2143,4286
4109,776,180,788,1576
4110,1957,674,1146,2292
4111,2332,879,1153,2306
4112,2650,736,1597,3194
4121,1309,320,1306,2612
4165,800,132,1445,2890
4204,2057,446,1811,3622
4205,1823,589,1596,3192
4207,1688,435,1696,3392
4208,1653,304,895,1790
4209,2190,361,2068,4136
4210,1132,131,897,1794
4211,1446,224,1221,2442
4212,1900,449,1384,2768
4221,2905,893,1866,3732
4263,3758,1291,2247,4494
4301,2297,713,3349,6698
4302,1792,423,1542,3084
4303,2274,803,2134,4268
4304,2393,802,976,1952
4305,3591,1204,2057,4114
4306,1699,392,1338,2676
4307,2978,711,1355,2710
4308,1955,678,1011,2022
4309,1477,359,1196,2392
4310,2043,351,1386,2772
4311,2884,458,2200,4400
4312,4199,934,4733,9466
4313,2072,591,1047,2094
4314,2611,482,2139,4278
4315,2906,562,2134,4268
4316,1707,728,976,1952
4317,2627,886,1395,2790
4318,2400,798,1836,3672
4401,2407,327,1637,3274
4402,2123,289,1459,2918
4403,2046,240,1785,3570
4404,2788,619,1776,3552
4405,2156,392,1605,3210
4406,2303,405,1156,2312
4407,4060,957,1841,3682
4408,2827,587,1338,2676
4409,2262,358,1513,3026
4410,1851,353,1092,2184
4411,2288,336,465,930
4412,3698,877,2489,4978
4413,2830,488,1259,2518
4414,1567,389,948,1896
4501,2644,652,1995,3990
4502,2610,500,1351,2702
4503,2096,337,1530,3060
