citycouncildistrict,total_bldgs,med_yearbuilt,mean_yearbuilt,year
13,29453,1940,1942.11682881038,2005
17,8325,1931,1944.30361920856,2005
8,4349,1910,1924.94336525308,2005
14,3885,1920,1926.46919976972,2005
16,4854,1926,1937.2900247692,2005
0,92,1940,1948.36764705882,2005
15,7368,1923,1931.30963302752,2005
18,11923,1930,1940.77310263468,2005
11,12796,1930,1934.06761648955,2005
12,19564,1945,1943.40031879096,2005
22,17827,1930,1935.45244636316,2005
41,14923,1925,1929.63206744528,2005
35,12935,1915,1920.2549968057,2005
36,14905,1905,1916.69808489353,2005
33,16845,1910,1917.66559850457,2005
34,16084,1930,1929.85022973173,2005
37,19693,1915,1922.78664438811,2005
42,17370,1940,1947.76964118981,2005
40,10472,1920,1919.83721993599,2005
45,24306,1930,1929.15447066465,2005
39,19076,1915,1917.0843859337,2005
44,22794,1930,1931.46612903226,2005
38,17272,1920,1921.22524785195,2005
43,31094,1925,1926.88322672047,2005
47,19389,1930,1938.75762809442,2005
50,42499,1965,1962.59468787919,2005
48,20831,1927,1931.38964444716,2005
46,37910,1940,1943.69582970547,2005
6,3975,1910,1913.74881648566,2005
1,5814,1910,1917.94608256108,2005
3,10074,1913,1919.00048181161,2005
2,4851,1910,1917.32764423077,2005
5,3545,1915,1922.81734434562,2005
4,4662,1918,1921.92862258296,2005
9,5516,1910,1918.46058006536,2005
7,3481,1920,1918.4614892937,2005
10,2095,1920,1922.42796384902,2005
26,16695,1931,1936.05591989281,2005
25,12020,1940,1943.02728945217,2005
21,17536,1930,1937.1627197958,2005
30,37904,1930,1931.21975961699,2005
32,37994,1930,1935.18400397769,2005
19,44122,1945,1945.07382510587,2005
24,24156,1940,1942.75116804032,2005
29,17710,1935,1935.61223220456,2005
28,30190,1925,1932.88083866268,2005
20,20696,1945,1946.26984319922,2005
23,37954,1945,1943.02313253012,2005
27,40751,1931,1936.79664499509,2005
31,31301,1945,1946.58868063513,2005
49,40209,1940,1947.34365436544,2005
51,45459,1978,1974.20088910249,2005
8,4248,1910,1924.82162610619,2006
17,8317,1931,1945.01682321604,2006
16,4901,1927,1938.40325456977,2006
13,29434,1940,1942.44322344322,2006
22,17717,1930,1935.79786677137,2006
14,3899,1920,1927.16585365854,2006
0,67,1941,1948.57894736842,2006
15,7389,1924,1931.98019198537,2006
18,11893,1930,1941.24445969798,2006
11,12802,1930,1934.34579002686,2006
12,19494,1945,1943.67093311313,2006
33,16623,1910,1917.66503191132,2006
35,12851,1915,1920.41520467836,2006
39,18938,1915,1917.06141863369,2006
38,17225,1920,1921.47098140428,2006
36,14966,1905,1917.35367239665,2006
40,10459,1920,1919.99211158111,2006
41,14939,1925,1930.09446631165,2006
37,19804,1915,1923.64705208274,2006
34,16040,1930,1930.46179550011,2006
42,17329,1945,1948.49732018792,2006
45,24307,1930,1929.26346268334,2006
48,20734,1927,1931.46288022523,2006
44,22676,1930,1931.82077313549,2006
43,31081,1925,1926.90995443996,2006
50,41934,1965,1962.97576671424,2006
47,19310,1930,1938.84125048145,2006
46,37861,1940,1943.84432108027,2006
1,5635,1910,1918.20721102863,2006
3,9862,1912.5,1918.87165450122,2006
2,4777,1910,1917.37551415437,2006
4,4590,1918,1922.06704980843,2006
6,3911,1910,1914.01562936087,2006
5,3534,1915,1922.96527556547,2006
9,5445,1910,1919.00264981655,2006
7,3487,1920,1919.18497293855,2006
10,2087,1920,1922.60606060606,2006
26,16638,1931,1936.30553005156,2006
25,11997,1940,1943.23776938004,2006
21,17546,1930,1937.77062986553,2006
30,37839,1930,1931.36144215319,2006
32,38002,1930,1935.29484352774,2006
24,24151,1940,1943.0511056253,2006
29,17707,1935,1935.83117151925,2006
19,43784,1945,1945.39142408718,2006
28,30242,1925,1933.30757734874,2006
20,20617,1945,1946.83099105676,2006
23,37629,1945,1943.17953467694,2006
27,40806,1931,1937.15243137375,2006
31,31420,1945,1947.5728064843,2006
49,39901,1940,1947.52519758392,2006
51,44216,1978,1974.25761384511,2006
17,8584,1931,1946.00263925545,2007
8,4247,1910,1926.4495890411,2007
13,29551,1940,1942.84180814941,2007
16,4964,1927,1939.78629475071,2007
0,115,1959.5,1956.64772727273,2007
15,7493,1925,1933.45598194131,2007
14,3891,1920,1927.71031518625,2007
18,12250,1930,1941.77880678495,2007
11,12821,1930,1934.6891923436,2007
12,19620,1945,1944.75558937141,2007
10,2091,1920,1922.78020223523,2007
22,18003,1930,1936.29035639413,2007
33,16756,1911,1918.62397361691,2007
34,16109,1930,1931.2986945557,2007
50,44113,1965,1963.58140591994,2007
35,12909,1915,1921.34601664685,2007
36,15062,1905,1918.13467109447,2007
41,15071,1925,1931.10198776758,2007
37,19916,1915,1924.62564539007,2007
42,17630,1945,1949.2987106486,2007
39,19041,1915,1917.65446428572,2007
38,17245,1920,1921.82525044782,2007
40,10535,1920,1921.07821928726,2007
43,31052,1925,1927.20820799312,2007
47,19289,1930,1939.47057688597,2007
44,22683,1930,1932.34918949134,2007
45,24327,1930,1929.51922141119,2007
48,20743,1928,1932.23794330593,2007
46,38145,1940,1944.00677478342,2007
1,5644,1910,1918.89466978127,2007
3,9824,1913,1919.68089008436,2007
2,4788,1910,1918.16598212129,2007
6,3954,1910,1914.38560267857,2007
4,4599,1918.5,1922.48294908742,2007
5,3535,1915,1924.54320203304,2007
9,5536,1910,1920.10555105348,2007
7,3469,1920,1919.12548015365,2007
26,16651,1931,1936.78925005311,2007
30,37931,1930,1931.63489888016,2007
21,17582,1930,1938.53918384637,2007
25,12064,1940,1943.56414978514,2007
29,17764,1935,1936.30591878871,2007
32,38214,1930,1935.72382607462,2007
24,24443,1940,1943.3297632173,2007
19,44383,1945,1945.76751064837,2007
28,30401,1925,1934.12109892758,2007
20,20764,1945,1947.3914785142,2007
23,38123,1945,1943.33638384587,2007
31,31920,1945,1948.6159887798,2007
27,40905,1931,1937.7067117364,2007
49,41194,1940,1948.08155774396,2007
51,47452,1980,1974.80399178723,2007
13,29572,1940,1942.95996950057,2008
16,4975,1927,1940.15668706294,2008
15,7464,1925,1933.78378783338,2008
11,12810,1930,1934.96499592976,2008
12,19655,1945,1945.11198416856,2008
17,8544,1931,1946.23050283973,2008
14,3890,1920,1928.14501424501,2008
18,12282,1930,1942.35163348154,2008
8,4217,1910,1926.373834339,2008
0,98,1958,1953.95180722892,2008
22,18005,1930,1936.467333072,2008
10,2085,1920,1922.86836518047,2008
46,38221,1940,1944.19294574802,2008
39,18936,1915,1917.69084196737,2008
34,16033,1930,1931.38344694724,2008
33,16656,1910,1918.47736625514,2008
47,19210,1930,1939.47372145384,2008
37,19925,1915,1924.7894617692,2008
45,24325,1930,1929.61953880218,2008
36,15061,1905,1918.33570723452,2008
41,15113,1925,1931.50057029884,2008
43,31108,1925,1927.21271383134,2008
48,20641,1928,1932.16311228566,2008
40,10509,1920,1921.23593590181,2008
38,17172,1920,1921.82255279586,2008
44,22646,1930,1932.49667913155,2008
42,17686,1950,1949.60795417562,2008
35,12832,1915,1921.38782608696,2008
50,44035,1965,1963.6667912041,2008
9,5488,1910,1919.89727420667,2008
5,3515,1915,1924.43107290672,2008
7,3450,1920,1918.92715019256,2008
2,4766,1910,1918.06418018891,2008
4,4576,1918.5,1922.54992798848,2008
1,5621,1910,1919.30116402116,2008
3,9704,1912,1919.58760239638,2008
6,3943,1910,1914.33677743647,2008
32,37947,1930,1935.8950217599,2008
19,44350,1945,1945.92574228204,2008
30,37952,1930,1931.79479566305,2008
27,40999,1931,1937.98577106277,2008
21,17622,1930,1939.06034664234,2008
23,37953,1945,1943.42823320509,2008
24,24374,1940,1943.53768791577,2008
26,16578,1931,1936.82640707965,2008
25,12078,1940,1943.78815977175,2008
